monarch_name;birth_year;death_year;start_of_reign_year;end_of_reign_year;start_of_seccondary_reign_year;end_of_seccondary_reign_year
elizabeth_ii;1926;2022;1952;2022;;
george_vi;1895;1952;1936;1952;;
edward_viii;1894;1972;1936;1936;;
george_v;1865;1936;1910;1936;;
edward_vii;1841;1910;1901;1910;;
victoria;1819;1901;1837;1901;;
william_iv;1765;1837;1830;1837;;
george_iv;1762;1830;1820;1830;;
george_iii;1738;1820;1760;1820;;
george_ii;1683;1760;1727;1760;;
george_i;1660;1727;1714;1727;;
anne;1665;1714;1702;1714;;
william_iii;1650;1702;1689;1702;;
mary_ii;1662;1694;1689;1694;;
james_ii;1633;1701;1685;1688;;
charles_ii;1630;1685;1660;1685;;
charles_i;1600;1649;1625;1649;;
james_i;1566;1625;1603;1625;;
elizabeth_i;1533;1603;1558;1603;;
mary_i;1516;1558;1553;1558;;
jane_grey;1536;1554;1553;1553;;
edward_vi;1537;1553;1547;1553;;
henry_viii;1491;1547;1509;1547;;
henry_vii;1457;1509;1485;1509;;
richard_iii;1452;1485;1483;1485;;
edward_v;1470;;1483;1483;;
edward_iv;1442;1483;1461;1470;1471;1483
henry_vi;1421;1471;1422;1461;1470;1471
henry_v;1386;1422;1413;1422;;
henry_iv;1367;1413;1399;1413;;
richard_ii;1367;1400;1377;1399;;
edward_iii;1312;1377;1327;1377;;
edward_ii;1284;1327;1307;1327;;
edward_i;1239;1307;1272;1307;;
henry_iii;1207;1272;1216;1272;;
john;1166;1216;1199;1216;;
richard_i;1157;1199;1189;1199;;
henry_ii;1133;1189;1154;1189;;
stephen;1092;1154;1135;1141;1141;1154
empress_mathilda;1102;1167;1141;1141;;
henry_i;1068;1135;1100;1135;;
william_ii;1057;1100;1087;1100;;
william_i;1028;1087;1066;1087;;
edward_the_confessor;1003;1066;1042;1066;;
edmund_ii;991;1016;1016;1016;;
aethelred;968;1016;978;1013;1014;1016
edward_the_martyr;962;978;975;978;;
edgar;943;975;959;975;;
eadwig;940;959;955;959;;
eadred;923;955;946;955;;
edmund_i;920;946;939;946;;
aethelstan;894;939;924;939;;
edward_the_elder;875;924;899;924;;
alfred_the_great;847;899;871;899;;
